T,M,Time
1,1,4.041553
1,10,19.268237
1,20,32.302940
1,30,42.660883
1,40,48.661775
1,50,59.854417
1,100,61.935968
10,1,0.420802
10,10,2.398500
10,20,3.690171
10,30,4.566340
10,40,5.845926
10,50,6.797990
10,100,6.719523
20,1,0.769989
20,10,1.586072
20,20,2.398844
20,30,2.868872
20,40,3.468548
20,50,3.936702
20,100,3.888113
