T,M,Time
1,1,0.007815
1,10,0.065713
1,20,0.045796
1,30,0.199205
1,40,0.036325
1,50,0.122052
1,100,0.030432
10,1,0.138944
10,10,0.306258
10,20,0.109807
10,30,0.176586
10,40,0.222205
10,50,0.121095
10,100,0.091814
20,1,0.212359
20,10,0.203543
20,20,0.117030
20,30,0.095261
20,40,0.272620
20,50,0.083255
20,100,0.084934
