T,M,Time
1,1,4.044357
1,10,19.334176
1,20,32.367799
1,30,42.719107
1,40,48.653856
1,50,59.867921
1,100,62.004147
10,1,0.592592
10,10,2.278096
10,20,3.526661
10,30,4.816299
10,40,5.681593
10,50,6.708090
10,100,6.796691
20,1,0.715227
20,10,1.644003
20,20,2.217079
20,30,2.833346
20,40,3.439640
20,50,3.874782
20,100,3.938681
