T,M,Time
1,1,0.013550
1,10,0.012937
1,20,0.153242
1,30,0.044831
1,40,0.063461
1,50,0.090328
1,100,0.091372
10,1,0.071707
10,10,0.260021
10,20,0.230162
10,30,0.340098
10,40,0.255468
10,50,0.052660
10,100,0.068331
20,1,0.148693
20,10,0.100382
20,20,0.181783
20,30,0.022480
20,40,0.125569
20,50,0.128746
20,100,0.188535
