T,M,Time
1,1,0.074142
1,10,0.425492
1,20,0.021081
1,30,0.243106
1,40,0.133486
1,50,1.923233
1,100,1.233818
10,1,0.232156
10,10,0.027017
10,20,0.179459
10,30,0.729004
10,40,0.008467
10,50,0.028359
10,100,0.026746
20,1,0.228947
20,10,0.020958
20,20,0.103624
20,30,0.092132
20,40,0.016876
20,50,0.078109
20,100,0.083980
