T,M,Time
1,1,0.898734
1,10,17.527489
1,20,31.268136
1,30,45.377479
1,40,51.076888
1,50,61.435412
1,100,61.378182
10,1,0.479132
10,10,2.924161
10,20,4.448720
10,30,5.965199
10,40,5.809709
10,50,6.603594
10,100,6.604662
20,1,0.382116
20,10,1.868510
20,20,2.950914
20,30,3.564719
20,40,3.738997
20,50,3.990221
20,100,3.988337
