B,P,C,X,N,Time
5,1,1,0,1,10.500348
5,1,5,0,1,10.507463
5,5,1,0,1,2.165513
5,5,5,0,1,2.158973
10,1,1,0,1,10.512015
10,1,5,0,1,10.514670
10,1,10,0,1,10.467736
10,5,1,0,1,2.156802
10,5,5,0,1,2.158763
10,5,10,0,1,2.133780
10,10,1,0,1,1.119755
10,10,5,0,1,1.108979
10,10,10,0,1,1.098615
5,1,1,200,1,10.579219
5,1,5,200,1,10.653178
5,5,1,200,1,6.196573
5,5,5,200,1,2.303701
10,1,1,200,1,10.575574
10,1,5,200,1,10.670488
10,1,10,200,1,10.675949
10,5,1,200,1,6.202575
10,5,5,200,1,2.296198
10,5,10,200,1,2.286878
10,10,1,200,1,5.662667
10,10,5,200,1,1.766143
10,10,10,200,1,1.258969
5,1,1,400,1,15.230935
5,1,5,400,1,10.834000
5,5,1,400,1,11.084651
5,5,5,400,1,3.281295
10,1,1,400,1,15.231211
10,1,5,400,1,10.831407
10,1,10,400,1,10.841947
10,5,1,400,1,11.083989
10,5,5,400,1,3.282156
10,5,10,400,1,2.481980
10,10,1,400,1,10.562404
10,10,5,400,1,2.757272
10,10,10,400,1,1.763175
