B,P,C,X,N,Time
5,1,1,0,1,0.043215
5,1,5,0,1,0.014396
5,5,1,0,1,0.006378
5,5,5,0,1,0.006758
10,1,1,0,1,0.018179
10,1,5,0,1,0.005063
10,1,10,0,1,0.046413
10,5,1,0,1,0.016759
10,5,5,0,1,0.004867
10,5,10,0,1,0.007906
10,10,1,0,1,0.003676
10,10,5,0,1,0.008567
10,10,10,0,1,0.009949
5,1,1,200,1,0.024214
5,1,5,200,1,0.016856
5,5,1,200,1,0.014664
5,5,5,200,1,0.003192
10,1,1,200,1,0.022696
10,1,5,200,1,0.021479
10,1,10,200,1,0.028110
10,5,1,200,1,0.022054
10,5,5,200,1,0.020991
10,5,10,200,1,0.003043
10,10,1,200,1,0.003339
10,10,5,200,1,0.006968
10,10,10,200,1,0.004723
5,1,1,400,1,0.019941
5,1,5,400,1,0.019908
5,5,1,400,1,0.001334
5,5,5,400,1,0.000785
10,1,1,400,1,0.029419
10,1,5,400,1,0.038799
10,1,10,400,1,0.015597
10,5,1,400,1,0.002970
10,5,5,400,1,0.001287
10,5,10,400,1,0.002196
10,10,1,400,1,0.004083
10,10,5,400,1,0.004350
10,10,10,400,1,0.005994
